,municipio,link,pp,pp_porcentaje,cs,cs_porcentaje,psoe,psoe_porcentaje,mas_madrid,mas_madrid_porcentaje,podemos_iu,podemos_iu_porcentaje,vox,vox_porcentaje,pacma,pacma_porcentaje,fe_de_las_jons,fe_de_las_jons_porcentaje,pum+j,pum+j_porcentaje,pcte,pcte_porcentaje,upyd,upyd_porcentaje,ph,ph_porcentaje,pcas_tc,pcas_tc_porcentaje,p_lib,p_lib_porcentaje,uleg,uleg_porcentaje,escrutado,votos_totales,votos_totales_porcentaje,abstencion,abstencion_porcentaje,votos_nulos,votos_nulos_porcentaje,votos_blancos,votos_blancos_porcentaje,geometry,pp_share,rel_pp_share,psoe_share,rel_psoe_share,pp_psoe,otros_partidos,pp_psoe_share,rel_pp_psoe_share,otros_partidos_share,rel_otros_partidos_share,derecha,izquierda,derecha_share,rel_derecha_share,izquierda_share,rel_izquierda_share,mas_madrid_share,rel_mas_madrid_share,podemos_iu_share,rel_podemos_iu_share,abstencion_share,rel_abstencion_share,votos_totales_share,rel_votos_totales_share
0,Ajalvir,https://resultados.elpais.com/elecciones/2019/autonomicas/12/28/02.html,521.0,24.05,456.0,21.05,532.0,24.56,224.0,10.34,81.0,3.74,274.0,12.65,28.0,1.29,7.0,0.32,6.0,0.28,5.0,0.23,3.0,0.14,1.0,0.05,1.0,0.05,0.0,0.0,0.0,0.0,100.0,2178.0,66.34,1105.0,33.66,12.0,0.55,27.0,1.25,"MULTIPOLYGON (((-3.511504888534432 40.5388908386231, -3.50520992279047 40.54187393188477, -3.50216698646534 40.55175018310553, -3.498409032821598 40.55466842651367, -3.488837003707886 40.55562973022467, -3.48757004737854 40.55982208251964, -3.480911970138436 40.56218338012707, -3.48343300819397 40.5546531677246, -3.481515884399414 40.55409240722667, -3.482677936553955 40.55155563354486, -3.480911970138436 40.5474090576173, -3.478694915771484 40.54436492919933, -3.475601911544799 40.54444122314453, -3.475972890853825 40.54216003417969, -3.472152948379517 40.53798675537114, -3.468723058700562 40.53884887695324, -3.470571994781437 40.53305435180658, -3.461061000823975 40.52683258056652, -3.462927103042488 40.52366256713879, -3.461353063583374 40.51768875122076, -3.462747097015324 40.51108169555675, -3.455857992172128 40.51006317138666, -3.452415943145695 40.51242828369146, -3.448630094528085 40.51127243042004, -3.438977956771737 40.513584136963, -3.43400502204895 40.50925445556652, -3.449670076370239 40.50419616699218, -3.468322038650513 40.49310302734374, -3.479779005050659 40.49452590942377, -3.495273113250732 40.51695251464844, -3.50770807266224 40.5301246643067, -3.511504888534432 40.5388908386231)))",0.23921028466483013,0.6993288590604027,0.24426078971533516,0.5052231718898386,1053.0,1035.0,0.4834710743801653,0.6767352185089974,0.47520661157024796,0.4956896551724138,1251.0,837.0,0.5743801652892562,0.5991379310344828,0.384297520661157,0.40086206896551724,0.10284664830119375,0.7344262295081967,0.0371900826446281,0.26557377049180325,0.507346189164371,0.3365823941516905,1.0,0.6634176058483094
1,Alameda del Valle,https://resultados.elpais.com/elecciones/2019/autonomicas/12/28/03.html,41.0,29.29,19.0,13.57,54.0,38.57,12.0,8.57,3.0,2.14,8.0,5.71,3.0,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,140.0,82.84,29.0,17.16,0.0,0.0,0.0,0.0,"MULTIPOLYGON (((-3.805958032608032 40.89047241210943, -3.809510946273803 40.88803100585943, -3.808512926101685 40.88588333129894, -3.810734987258911 40.87742996215826, -3.814465999603215 40.87097930908203, -3.81467604637146 40.86567306518566, -3.81806206703186 40.86236953735357, -3.822804927825928 40.86017608642584, -3.828295946121159 40.86655807495123, -3.833358049392587 40.87652969360363, -3.837883949279785 40.87975692749035, -3.834201097488346 40.88803482055663, -3.837306976318302 40.8970680236817, -3.840665102005004 40.89969253540039, -3.843491077423095 40.91106414794928, -3.869136095046997 40.93258285522472, -3.87365698814392 40.93483734130854, -3.881714105606022 40.93606567382818, -3.886390924453679 40.94196701049815, -3.885993957519531 40.944248199463, -3.894665956497192 40.95135879516602, -3.898869037628173 40.95908355712891, -3.895008087158146 40.9669685363769, -3.890568971633911 40.96920013427734, -3.880754947662296 40.97287750244146, -3.861047029495182 40.95349884033214, -3.858963966369629 40.94962310791021, -3.854177951812631 40.94703674316401, -3.849288940429688 40.93908309936534, -3.841831922531128 40.9317512512207, -3.838946104049626 40.92442321777349, -3.830893993377629 40.91970443725586, -3.829394102096557 40.91372680664062, -3.823651075363102 40.90639114379888, -3.805958032608032 40.89047241210943)))",0.29285714285714287,0.7735849056603774,0.38571428571428573,0.5684210526315789,95.0,42.0,0.6785714285714286,1.144578313253012,0.3,0.30656934306569344,68.0,69.0,0.4857142857142857,0.49635036496350365,0.4928571428571429,0.5036496350364964,0.08571428571428572,0.8,0.02142857142857143,0.2,0.20714285714285716,0.17159763313609466,1.0,0.8284023668639053
2,Alcalá de Henares,https://resultados.elpais.com/elecciones/2019/autonomicas/12/28/05.html,15953.0,17.91,18120.0,20.34,28759.0,32.28,10975.0,12.32,5306.0,5.96,8094.0,9.09,870.0,0.98,132.0,0.15,88.0,0.1,85.0,0.1,138.0,0.15,61.0,0.07,39.0,0.04,28.0,0.03,8.0,0.01,100.0,89514.0,65.71,46719.0,34.29,434.0,0.48,424.0,0.48,"MULTIPOLYGON (((-3.321415901183968 40.47207260131836, -3.328979969024658 40.46533966064459, -3.329252004623413 40.46300506591797, -3.333892107009831 40.45923614501959, -3.333867073059082 40.45667648315435, -3.341804981231633 40.45684432983404, -3.345546960830632 40.45277023315429, -3.349195957183781 40.45365142822266, -3.351421117782592 40.45071411132823, -3.3541579246521 40.4509849548341, -3.356717109680176 40.4486808776856, -3.360265970230102 40.4508056640625, -3.361546993255558 40.44994735717773, -3.367317914962712 40.45527648925793, -3.370070934295654 40.4558219909668, -3.37352609634388 40.45384597778332, -3.378674983978271 40.45489883422852, -3.381225109100342 40.45322418212885, -3.382702112197876 40.45382308959966, -3.384964942932129 40.45174407958984, -3.386861085891667 40.4533042907716, -3.386405944824162 40.45598220825207, -3.389158964157104 40.45718002319336, -3.388065099716129 40.45936584472656, -3.391096115112305 40.4597511291505, -3.395684003829956 40.4576530456544, -3.402476072311287 40.45711898803722, -3.403569936752262 40.45468902587896, -3.408478975296021 40.45342636108403, -3.413779973983765 40.45624542236339, -3.419337034225407 40.45461654663097, -3.423535108566284 40.45634841918957, -3.426475048065072 40.45314788818365, -3.433660984039307 40.45398712158197, -3.44505500793457 40.44522857666015, -3.447077989578247 40.4462509155274, -3.430454015731811 40.46158218383789, -3.433212041854858 40.46662521362315, -3.428817987441959 40.46923828125011, -3.42817497253418 40.4720687866212, -3.425146102905273 40.47257614135754, -3.430629968643132 40.48894500732422, -3.429800033569336 40.49203491210943, -3.427901983261108 40.49216842651373, -3.429342031478768 40.51095581054693, -3.429327964782601 40.51814651489269, -3.430711984634399 40.51840972900402, -3.428448915481511 40.5301017761231, -3.436106920242309 40.52944564819335, -3.438595056533813 40.5361442565918, -3.437072992324829 40.53636932373058, -3.433135032653751 40.5444107055664, -3.425391912460327 40.54333114624035, -3.424848079681396 40.54503631591797, -3.420000076293945 40.54393768310553, -3.416487932205143 40.54510879516602, -3.414953947067204 40.5435142517091, -3.416857004165593 40.54169464111339, -3.415659904479923 40.54116058349604, -3.417542934417668 40.53638839721685, -3.414151906967106 40.53604888916016, -3.41189789772028 40.53405761718761, -3.410257101058903 40.52841949462891, -3.407243967056274 40.53011703491217, -3.405466079711914 40.52879714965832, -3.405597925186157 40.5252571105957, -3.398639917373657 40.52638244628912, -3.39172697067255 40.52364730834972, -3.376938104629459 40.52852630615246, -3.375689029693547 40.52664566040045, -3.373255014419499 40.52833938598633, -3.371051073074341 40.52708816528331, -3.365674018859863 40.52819442749029, -3.362401962280273 40.52342987060547, -3.359076023101807 40.52401733398438, -3.358850955963135 40.5262336730957, -3.357319116592407 40.52468872070318, -3.352042913436833 40.52669525146484, -3.353105068206787 40.52895355224604, -3.351274967193547 40.52894210815435, -3.349988937377929 40.53162002563482, -3.333985090255737 40.52816390991217, -3.323174953460693 40.52149963378918, -3.306802034378052 40.52974319458013, -3.304631948471069 40.53295516967779, -3.302654027938843 40.53153610229492, -3.300678014755249 40.53292846679699, -3.298346996307373 40.52927017211914, -3.296065092086792 40.52855682373058, -3.294559001922551 40.52979278564459, -3.293184041976929 40.5286979675293, -3.289586067199707 40.53171539306646, -3.284646987915039 40.52845764160162, -3.286428928375187 40.52552413940435, -3.283864974975472 40.5220870971679, -3.284513950347844 40.51656723022466, -3.29184889793396 40.51753997802734, -3.299187898635864 40.51375198364269, -3.301297903060913 40.51085662841797, -3.306206941604557 40.51318740844738, -3.307775020599308 40.50761413574219, -3.30605506896967 40.50535583496094, -3.310168027877808 40.50187683105469, -3.298487901687622 40.49436950683605, -3.294334888458252 40.48954010009771, -3.289679050445499 40.49060821533197, -3.286665916442871 40.48949813842778, -3.287668943405151 40.48653793334961, -3.297341108322143 40.48362350463878, -3.301559925079289 40.47964859008783, -3.309408903121948 40.48286437988287, -3.321415901183968 40.47207260131836)))",0.17821793239046407,0.592431669637552,0.32127935295037646,0.643205403471104,44712.0,42495.0,0.49949728534084054,0.7649876813577882,0.4747302097995844,0.4872888644260209,42167.0,45040.0,0.47106597850615545,0.4835276984645728,0.5031615166342694,0.5164723015354272,0.12260651965055745,0.6740986425895216,0.059275644033335566,0.3259013574104785,0.5219183591393525,0.3429345312809672,1.0,0.6570654687190328
3,Alcobendas,https://resultados.elpais.com/elecciones/2019/autonomicas/12/28/06.html,13844.0,25.38,11032.0,20.22,15338.0,28.12,6047.0,11.08,2527.0,4.63,4901.0,8.98,380.0,0.7,33.0,0.06,54.0,0.1,48.0,0.09,74.0,0.14,33.0,0.06,23.0,0.04,16.0,0.03,15.0,0.03,100.0,54711.0,67.79,25992.0,32.21,157.0,0.29,189.0,0.35,"MULTIPOLYGON (((-3.674170970916748 40.58897399902355, -3.659807920455933 40.56325531005871, -3.653876066207886 40.55566787719732, -3.643646955490112 40.55559921264648, -3.639673948287963 40.55408096313477, -3.637178897857609 40.54876327514654, -3.629086017608642 40.54446411132812, -3.626596927642765 40.54106521606439, -3.603091955184937 40.53778457641613, -3.592999935150089 40.53812408447266, -3.577590942382812 40.53400421142584, -3.563500881195068 40.53518295288086, -3.549412012100219 40.53321456909191, -3.554234027862548 40.53250503540039, -3.557600975036621 40.52975082397472, -3.550386905670166 40.52414321899414, -3.550975084304696 40.52104568481445, -3.556022882461491 40.51747131347668, -3.553556919097844 40.51485061645513, -3.552634000778198 40.51159667968744, -3.554227113723698 40.5115699768067, -3.57145094871521 40.51327514648449, -3.593293905258179 40.50180816650402, -3.603028059005737 40.50169372558594, -3.607336044311467 40.50679779052745, -3.614742994308471 40.51147842407238, -3.634305000305119 40.50820922851562, -3.645273923873845 40.50857543945312, -3.65560603141779 40.51383209228527, -3.658577919006348 40.51233673095714, -3.666941881179696 40.52498245239269, -3.672390937805176 40.52466201782221, -3.677983999252319 40.52672958374035, -3.669658899307251 40.53469848632812, -3.677769899368286 40.54294586181646, -3.680298089981022 40.5544548034668, -3.689166069030705 40.57055282592778, -3.690783977508544 40.57044601440429, -3.700556993484497 40.57875442504888, -3.692373037338256 40.58024597167979, -3.674170970916748 40.58897399902355)))",0.25303869422967956,0.6959931627369161,0.28034581711173256,0.5255979713522034,29182.0,24507.0,0.5333845113414122,0.760918880863602,0.4479355157098207,0.4564622175864702,29777.0,23912.0,0.5442598380581601,0.5546201270278828,0.4370601889930727,0.4453798729721172,0.11052621959021038,0.705271751807791,0.046188152291129755,0.294728248192209,0.47507813785162034,0.32206981153116987,1.0,0.6779301884688301
4,Alcorcón,https://resultados.elpais.com/elecciones/2019/autonomicas/12/28/07.html,16844.0,19.29,16214.0,18.57,27492.0,31.48,12227.0,14.0,6537.0,7.49,6441.0,7.38,729.0,0.83,48.0,0.05,85.0,0.1,69.0,0.08,92.0,0.11,40.0,0.05,50.0,0.06,23.0,0.03,18.0,0.02,100.0,87720.0,69.08,39267.0,30.92,387.0,0.44,424.0,0.49,"MULTIPOLYGON (((-3.787813901901245 40.3587532043457, -3.79892897605896 40.3566513061524, -3.804716110229492 40.35304260253918, -3.799791097640991 40.34275436401366, -3.816999912261962 40.3307342529298, -3.817715883255004 40.3276824951173, -3.838594913482609 40.32453155517578, -3.846817970275878 40.32415008544922, -3.84749698638916 40.3258628845216, -3.854183912277108 40.33054351806652, -3.859113931655884 40.34343719482428, -3.866754055023193 40.3468856811524, -3.867651939392089 40.35351943969738, -3.870862960815429 40.35322570800793, -3.870649099349976 40.35868453979504, -3.878849029541016 40.36972808837891, -3.877877950668335 40.37309646606451, -3.866512060165405 40.3739585876466, -3.867707014083805 40.37800979614257, -3.845813035964909 40.39073181152344, -3.837743043899536 40.40310668945312, -3.83030104637146 40.40163040161127, -3.834686040878239 40.3961296081543, -3.813148975372314 40.36979675292974, -3.810534000396728 40.3639030456543, -3.806904077529907 40.36660385131836, -3.802719116210937 40.36339187622076, -3.787813901901245 40.3587532043457)))",0.19202006383948927,0.5794090330569984,0.313406292749658,0.6200830025261639,44336.0,41419.0,0.5054263565891473,0.7609632185091739,0.47217282261741905,0.48299224535012536,39499.0,46256.0,0.45028499772001823,0.46060288029852486,0.5273141814865481,0.5393971197014751,0.13938668490652076,0.6516201236410147,0.07452120383036935,0.3483798763589853,0.44764021887824895,0.3092206288832715,1.0,0.6907793711167285
5,Aldea del Fresno,https://resultados.elpais.com/elecciones/2019/autonomicas/12/28/08.html,367.0,27.01,194.0,14.28,404.0,29.73,85.0,6.25,76.0,5.59,184.0,13.54,23.0,1.69,1.0,0.07,1.0,0.07,4.0,0.29,1.0,0.07,1.0,0.07,2.0,0.15,1.0,0.07,0.0,0.0,100.0,1377.0,69.69,599.0,30.31,18.0,1.31,15.0,1.1,"MULTIPOLYGON (((-4.231593132019043 40.27675628662121, -4.255235195159855 40.28686141967773, -4.272254943847656 40.29933547973638, -4.276229858398438 40.30358505249035, -4.280289173126164 40.31223678588867, -4.295228958129826 40.32307815551758, -4.286264896392765 40.32954025268549, -4.27699422836298 40.32847976684576, -4.274107933044434 40.33085250854504, -4.268074989318848 40.33252334594732, -4.257626056671029 40.32946395874029, -4.251100063323975 40.32483291625977, -4.237758159637394 40.32774353027344, -4.233002185821476 40.32899475097662, -4.23117208480835 40.33444213867188, -4.218810081481933 40.33635711669922, -4.213984966278019 40.33971405029308, -4.215637207031193 40.34257125854491, -4.212645053863469 40.35039520263683, -4.207643985748291 40.34934234619141, -4.188533782958928 40.33791732788097, -4.182239055633488 40.32927703857422, -4.17706298828125 40.32677459716791, -4.16956901550293 40.31826400756847, -4.166163921356201 40.30906295776373, -4.167954921722411 40.28806304931641, -4.170170783996525 40.28834152221674, -4.174552917480355 40.28866577148438, -4.17952919006342 40.2933807373048, -4.191264152526855 40.29697799682617, -4.197303771972656 40.2938346862794, -4.198911190032959 40.29029083251964, -4.202904224395752 40.28849792480469, -4.204996109008732 40.28320693969726, -4.203067779540902 40.27521133422852, -4.203673839569092 40.26901245117188, -4.208693027496338 40.26810455322271, -4.213544845581055 40.26924514770519, -4.218218803405762 40.27278900146479, -4.226354122161808 40.26990127563477, -4.229119777679387 40.27591705322271, -4.231593132019043 40.27675628662121)))",0.2665214233841685,0.8119469026548672,0.2933914306463326,0.5239948119325551,771.0,539.0,0.5599128540305011,0.8509933774834437,0.3914306463326071,0.4114503816793893,745.0,565.0,0.5410312273057372,0.5687022900763359,0.4103122730573711,0.4312977099236641,0.06172839506172839,0.5279503105590062,0.05519244734931009,0.4720496894409938,0.43500363108206247,0.30313765182186236,1.0,0.6968623481781376
6,Algete,https://resultados.elpais.com/elecciones/2019/autonomicas/12/28/09.html,2073.0,21.19,2398.0,24.51,2415.0,24.69,1043.0,10.66,441.0,4.51,1184.0,12.1,120.0,1.23,11.0,0.11,7.0,0.07,10.0,0.1,16.0,0.16,6.0,0.06,2.0,0.02,8.0,0.08,1.0,0.01,100.0,9817.0,67.63,4698.0,32.37,34.0,0.35,48.0,0.49,"MULTIPOLYGON (((-3.453706026077271 40.60742950439459, -3.464894056320077 40.59816741943371, -3.465926885604858 40.59531784057623, -3.467562913894653 40.59598541259771, -3.475893020629882 40.59241104125977, -3.482842922210693 40.58750152587885, -3.482268095016422 40.58646774291992, -3.488816022872868 40.58506011962891, -3.495179891586304 40.58595275878918, -3.508313894271851 40.5823211669923, -3.520831108093261 40.58119201660167, -3.527295112609806 40.58283615112299, -3.529761075973454 40.58218765258795, -3.52989292144764 40.58423995971685, -3.532948970794621 40.58501052856451, -3.540148973464966 40.58397674560553, -3.539913892745914 40.58263397216802, -3.545322895049992 40.58394241333019, -3.549511909484806 40.58728408813477, -3.553049087524414 40.58644866943365, -3.561391115188541 40.58787536621105, -3.561644077301025 40.59272766113287, -3.565440893173217 40.59296417236334, -3.565661907196045 40.59834671020508, -3.575797080993596 40.60190200805658, -3.577600002288818 40.6079940795899, -3.574480056762695 40.61090087890631, -3.573981046676636 40.61888504028315, -3.579778909683228 40.61930465698242, -3.580722093582096 40.62311172485352, -3.584494113922119 40.6272811889649, -3.589421987533569 40.63364410400402, -3.591644048690796 40.64026260375977, -3.589412927627506 40.6448860168457, -3.591907978057861 40.64893722534185, -3.593462944030762 40.65480422973633, -3.589333057403565 40.65588378906256, -3.584662914276066 40.65353393554687, -3.584163904190006 40.64512252807623, -3.577770948409977 40.64580917358398, -3.568147897720337 40.6435432434082, -3.566692113876286 40.65036773681646, -3.559066057205143 40.65048599243175, -3.562073945999089 40.64553833007812, -3.558559894561711 40.64249801635754, -3.55641508102417 40.63616561889654, -3.56240701675415 40.63715744018565, -3.563849925994873 40.63440322875982, -3.56029009819025 40.62432098388666, -3.558669090270996 40.62438201904297, -3.559325933456421 40.61224365234386, -3.551883935928345 40.61154174804682, -3.547410011291447 40.61385345458984, -3.543170928955078 40.61290740966797, -3.535885095596313 40.6166725158692, -3.52996110916132 40.61362838745123, -3.524708032608032 40.61448669433599, -3.523607015609741 40.61605072021489, -3.518830060958862 40.6158561706543, -3.504750013351383 40.6202507019043, -3.502321958541756 40.61982345581066, -3.503475904464722 40.62564468383795, -3.492532968521118 40.62485504150402, -3.486874103546142 40.62540817260742, -3.488261938095092 40.61936950683594, -3.486143112182504 40.61570358276367, -3.47918701171875 40.61355972290039, -3.476330995559636 40.60919952392589, -3.47601389884943 40.60454559326172, -3.463387966156006 40.60761642456066, -3.45744800567627 40.60657501220697, -3.453706026077271 40.60742950439459)))",0.21116430681470919,0.6652759948652118,0.2460018335540389,0.5381016042780749,4488.0,5066.0,0.4571661403687481,0.6286594761171033,0.5160435978404808,0.5302491103202847,5655.0,3899.0,0.5760415605582153,0.5918986811806574,0.39716817765101353,0.4081013188193427,0.1062442701436284,0.7028301886792453,0.044922073953346235,0.2971698113207547,0.4785576041560558,0.3236651739579745,1.0,0.6763348260420254
7,Alpedrete,https://resultados.elpais.com/elecciones/2019/autonomicas/12/28/10.html,1683.0,22.5,1714.0,22.91,1650.0,22.06,990.0,13.24,447.0,5.98,840.0,11.23,74.0,0.99,17.0,0.23,12.0,0.16,6.0,0.08,9.0,0.12,6.0,0.08,4.0,0.05,1.0,0.01,5.0,0.07,100.0,7501.0,70.92,3075.0,29.08,21.0,0.28,22.0,0.29,"MULTIPOLYGON (((-4.043798923492432 40.66147232055664, -4.034422874450627 40.67098999023449, -4.012592792510929 40.68265914916998, -3.99822807312006 40.68425369262707, -3.995795965194702 40.68073272705089, -3.997239112854004 40.67273330688477, -3.995955944061279 40.6668434143067, -3.998048067092896 40.66347122192394, -4.006536006927433 40.66235351562506, -4.010978221893254 40.65170288085943, -4.021439075469971 40.6450920104981, -4.016910076141357 40.63898468017589, -4.025643825531006 40.63236618042004, -4.030877113342285 40.63888931274425, -4.030391216278076 40.64122772216803, -4.045911788940372 40.65512847900396, -4.046568870544434 40.65858459472662, -4.043798923492432 40.66147232055664)))",0.22437008398880148,0.6296296296296297,0.21997067057725636,0.49504950495049505,3333.0,3991.0,0.44434075456605787,0.5874162848078957,0.5320623916811091,0.5449208083014746,4237.0,3087.0,0.5648580189308092,0.5785090114691426,0.41154512731635784,0.4214909885308575,0.13198240234635383,0.6889352818371608,0.05959205439274763,0.31106471816283926,0.4099453406212505,0.29075264750378216,1.0,0.7092473524962178
8,Ambite,https://resultados.elpais.com/elecciones/2019/autonomicas/12/28/11.html,64.0,21.19,45.0,14.9,86.0,28.48,30.0,9.93,18.0,5.96,46.0,15.23,8.0,2.65,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,303.0,71.63,120.0,28.37,1.0,0.33,4.0,1.32,"MULTIPOLYGON (((-3.216186046600285 40.31260681152355, -3.210717916488647 40.31401443481451, -3.207163095474243 40.31747817993175, -3.19995188713068 40.33036422729492, -3.199193000793457 40.33715820312506, -3.204394102096444 40.34393310546869, -3.196813106536865 40.35223770141596, -3.177602052688599 40.36012268066418, -3.175781011581364 40.36618804931646, -3.177367925643921 40.37390518188482, -3.169001102447509 40.37760543823237, -3.16201996803278 40.37866592407232, -3.150916099548283 40.3762702941894, -3.15020298957819 40.37341308593756, -3.1493980884552 40.37171173095709, -3.153300046920776 40.36737442016607, -3.149586915969792 40.36086654663086, -3.143656969070321 40.35793304443364, -3.144190073013249 40.35367202758795, -3.141361951828003 40.3526496887207, -3.141450881957951 40.35081863403326, -3.146678924560433 40.35010528564453, -3.147367000579777 40.34737014770513, -3.156115055084229 40.34187316894531, -3.151411056518555 40.33850097656256, -3.153325080871582 40.33172607421869, -3.162343978881779 40.32743453979486, -3.162116050720215 40.3260002136231, -3.177755117416325 40.31514739990234, -3.182430028915405 40.30675125122076, -3.181785106658936 40.30369949340826, -3.207951068878174 40.30610656738287, -3.216186046600285 40.31260681152355)))",0.21122112211221122,0.6808510638297872,0.2838283828382838,0.5733333333333334,150.0,139.0,0.49504950495049505,0.7389162561576355,0.45874587458745875,0.4809688581314879,155.0,134.0,0.5115511551155115,0.5363321799307958,0.44224422442244227,0.46366782006920415,0.09900990099009901,0.625,0.0594059405940594,0.375,0.39603960396039606,0.28368794326241137,1.0,0.7163120567375887
9,Anchuelo,https://resultados.elpais.com/elecciones/2019/autonomicas/12/28/12.html,177.0,27.74,108.0,16.93,178.0,27.9,42.0,6.58,23.0,3.61,98.0,15.36,2.0,0.31,1.0,0.16,1.0,0.16,1.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,645.0,70.49,270.0,29.51,7.0,1.09,7.0,1.1,"MULTIPOLYGON (((-3.267774105072021 40.43864440917974, -3.267631053924561 40.44414520263678, -3.273524045944157 40.44962692260748, -3.2823450565337 40.45227432250982, -3.287343025207463 40.4516487121582, -3.292494058608952 40.45668411254888, -3.317540884017887 40.46886825561529, -3.321415901183968 40.47207260131836, -3.309408903121948 40.48286437988287, -3.301559925079289 40.47964859008783, -3.297341108322143 40.48362350463878, -3.287668943405151 40.48653793334961, -3.286665916442871 40.48949813842778, -3.289679050445499 40.49060821533197, -3.294334888458252 40.48954010009771, -3.298487901687622 40.49436950683605, -3.287774085998535 40.49496078491211, -3.282506942748967 40.49365234375011, -3.280143022537231 40.49010086059581, -3.273673057556096 40.4861946105957, -3.25827693939209 40.48387145996099, -3.259568929672184 40.48237228393555, -3.255130052566471 40.47520446777344, -3.249713897705078 40.45886230468756, -3.244322061538639 40.45211791992188, -3.234914064407349 40.44939804077154, -3.234909057617188 40.44445037841791, -3.256853103637638 40.44100952148448, -3.260519981384221 40.43814849853526, -3.267774105072021 40.43864440917974)))",0.2744186046511628,0.8082191780821918,0.27596899224806204,0.5014084507042254,355.0,271.0,0.5503875968992248,0.7924107142857143,0.4201550387596899,0.4329073482428115,383.0,243.0,0.5937984496124031,0.6118210862619808,0.3767441860465116,0.38817891373801916,0.06511627906976744,0.6461538461538462,0.03565891472868217,0.35384615384615387,0.4186046511627907,0.29508196721311475,1.0,0.7049180327868853
