,municipio,link,pp,pp_porcentaje,vox,vox_porcentaje,mas_madrid,mas_madrid_porcentaje,psoe,psoe_porcentaje,podemos_iu,podemos_iu_porcentaje,cs,cs_porcentaje,pacma,pacma_porcentaje,fe_de_las_jons,fe_de_las_jons_porcentaje,pcte,pcte_porcentaje,ph,ph_porcentaje,3e_en_accion,3e_en_accion_porcentaje,eb,eb_porcentaje,partido_autonomos,partido_autonomos_porcentaje,p_lib,p_lib_porcentaje,udec,udec_porcentaje,pum+j,pum+j_porcentaje,volt,volt_porcentaje,recortes_cero_pcas_tc_gv_m,recortes_cero_pcas_tc_gv_m_porcentaje,pcoe_pcpe,pcoe_pcpe_porcentaje,pole,pole_porcentaje,escrutado,votos_totales,votos_totales_porcentaje,abstencion,abstencion_porcentaje,votos_nulos,votos_nulos_porcentaje,votos_blancos,votos_blancos_porcentaje,geometry,pp_share,rel_pp_share,psoe_share,rel_psoe_share,pp_psoe,otros_partidos,pp_psoe_share,rel_pp_psoe_share,otros_partidos_share,rel_otros_partidos_share,derecha,izquierda,derecha_share,rel_derecha_share,izquierda_share,rel_izquierda_share,mas_madrid_share,rel_mas_madrid_share,podemos_iu_share,rel_podemos_iu_share,abstencion_share,rel_abstencion_share,votos_totales_share,rel_votos_totales_share
0,Ajalvir,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/02.html,1148.0,49.4,340.0,14.63,330.0,14.2,325.0,13.98,101.0,4.35,56.0,2.41,4.0,0.17,3.0,0.13,1.0,0.04,1.0,0.04,1.0,0.04,1.0,0.04,1.0,0.04,1.0,0.04,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2339.0,71.95,912.0,28.05,15.0,0.64,10.0,0.43,"MULTIPOLYGON (((-3.511504888534432 40.5388908386231, -3.50520992279047 40.54187393188477, -3.50216698646534 40.55175018310553, -3.498409032821598 40.55466842651367, -3.488837003707886 40.55562973022467, -3.48757004737854 40.55982208251964, -3.480911970138436 40.56218338012707, -3.48343300819397 40.5546531677246, -3.481515884399414 40.55409240722667, -3.482677936553955 40.55155563354486, -3.480911970138436 40.5474090576173, -3.478694915771484 40.54436492919933, -3.475601911544799 40.54444122314453, -3.475972890853825 40.54216003417969, -3.472152948379517 40.53798675537114, -3.468723058700562 40.53884887695324, -3.470571994781437 40.53305435180658, -3.461061000823975 40.52683258056652, -3.462927103042488 40.52366256713879, -3.461353063583374 40.51768875122076, -3.462747097015324 40.51108169555675, -3.455857992172128 40.51006317138666, -3.452415943145695 40.51242828369146, -3.448630094528085 40.51127243042004, -3.438977956771737 40.513584136963, -3.43400502204895 40.50925445556652, -3.449670076370239 40.50419616699218, -3.468322038650513 40.49310302734374, -3.479779005050659 40.49452590942377, -3.495273113250732 40.51695251464844, -3.50770807266224 40.5301246643067, -3.511504888534432 40.5388908386231)))",0.49080803762291575,0.7767253044654939,0.13894826849080805,0.22063815342837745,1473.0,827.0,0.6297563061137238,0.7458227848101265,0.3535699016673792,0.35956521739130437,1544.0,756.0,0.6601111586147926,0.671304347826087,0.3232150491663104,0.32869565217391306,0.1410859341598974,0.765661252900232,0.043180846515604956,0.23433874709976799,0.38991021804189824,0.28052906797908334,1.0,0.7194709320209166
1,Alameda del Valle,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/03.html,64.0,38.1,16.0,9.52,36.0,21.43,30.0,17.86,11.0,6.55,7.0,4.17,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,168.0,86.15,27.0,13.85,0.0,0.0,3.0,1.79,"MULTIPOLYGON (((-3.805958032608032 40.89047241210943, -3.809510946273803 40.88803100585943, -3.808512926101685 40.88588333129894, -3.810734987258911 40.87742996215826, -3.814465999603215 40.87097930908203, -3.81467604637146 40.86567306518566, -3.81806206703186 40.86236953735357, -3.822804927825928 40.86017608642584, -3.828295946121159 40.86655807495123, -3.833358049392587 40.87652969360363, -3.837883949279785 40.87975692749035, -3.834201097488346 40.88803482055663, -3.837306976318302 40.8970680236817, -3.840665102005004 40.89969253540039, -3.843491077423095 40.91106414794928, -3.869136095046997 40.93258285522472, -3.87365698814392 40.93483734130854, -3.881714105606022 40.93606567382818, -3.886390924453679 40.94196701049815, -3.885993957519531 40.944248199463, -3.894665956497192 40.95135879516602, -3.898869037628173 40.95908355712891, -3.895008087158146 40.9669685363769, -3.890568971633911 40.96920013427734, -3.880754947662296 40.97287750244146, -3.861047029495182 40.95349884033214, -3.858963966369629 40.94962310791021, -3.854177951812631 40.94703674316401, -3.849288940429688 40.93908309936534, -3.841831922531128 40.9317512512207, -3.838946104049626 40.92442321777349, -3.830893993377629 40.91970443725586, -3.829394102096557 40.91372680664062, -3.823651075363102 40.90639114379888, -3.805958032608032 40.89047241210943)))",0.38095238095238093,0.64,0.17857142857142858,0.3191489361702128,94.0,70.0,0.5595238095238095,0.7014925373134329,0.4166666666666667,0.4268292682926829,87.0,77.0,0.5178571428571429,0.5304878048780488,0.4583333333333333,0.4695121951219512,0.21428571428571427,0.7659574468085106,0.06547619047619048,0.23404255319148937,0.16071428571428573,0.13846153846153847,1.0,0.8615384615384616
2,Alcalá de Henares,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/05.html,42645.0,42.58,9735.0,9.72,15540.0,15.52,19926.0,19.9,7017.0,7.01,3594.0,3.59,534.0,0.53,43.0,0.04,46.0,0.05,45.0,0.04,74.0,0.07,70.0,0.07,52.0,0.05,21.0,0.02,26.0,0.03,63.0,0.06,45.0,0.04,29.0,0.03,25.0,0.02,10.0,0.01,99.54,100932.0,74.12,35235.0,25.88,789.0,0.78,603.0,0.6,"MULTIPOLYGON (((-3.321415901183968 40.47207260131836, -3.328979969024658 40.46533966064459, -3.329252004623413 40.46300506591797, -3.333892107009831 40.45923614501959, -3.333867073059082 40.45667648315435, -3.341804981231633 40.45684432983404, -3.345546960830632 40.45277023315429, -3.349195957183781 40.45365142822266, -3.351421117782592 40.45071411132823, -3.3541579246521 40.4509849548341, -3.356717109680176 40.4486808776856, -3.360265970230102 40.4508056640625, -3.361546993255558 40.44994735717773, -3.367317914962712 40.45527648925793, -3.370070934295654 40.4558219909668, -3.37352609634388 40.45384597778332, -3.378674983978271 40.45489883422852, -3.381225109100342 40.45322418212885, -3.382702112197876 40.45382308959966, -3.384964942932129 40.45174407958984, -3.386861085891667 40.4533042907716, -3.386405944824162 40.45598220825207, -3.389158964157104 40.45718002319336, -3.388065099716129 40.45936584472656, -3.391096115112305 40.4597511291505, -3.395684003829956 40.4576530456544, -3.402476072311287 40.45711898803722, -3.403569936752262 40.45468902587896, -3.408478975296021 40.45342636108403, -3.413779973983765 40.45624542236339, -3.419337034225407 40.45461654663097, -3.423535108566284 40.45634841918957, -3.426475048065072 40.45314788818365, -3.433660984039307 40.45398712158197, -3.44505500793457 40.44522857666015, -3.447077989578247 40.4462509155274, -3.430454015731811 40.46158218383789, -3.433212041854858 40.46662521362315, -3.428817987441959 40.46923828125011, -3.42817497253418 40.4720687866212, -3.425146102905273 40.47257614135754, -3.430629968643132 40.48894500732422, -3.429800033569336 40.49203491210943, -3.427901983261108 40.49216842651373, -3.429342031478768 40.51095581054693, -3.429327964782601 40.51814651489269, -3.430711984634399 40.51840972900402, -3.428448915481511 40.5301017761231, -3.436106920242309 40.52944564819335, -3.438595056533813 40.5361442565918, -3.437072992324829 40.53636932373058, -3.433135032653751 40.5444107055664, -3.425391912460327 40.54333114624035, -3.424848079681396 40.54503631591797, -3.420000076293945 40.54393768310553, -3.416487932205143 40.54510879516602, -3.414953947067204 40.5435142517091, -3.416857004165593 40.54169464111339, -3.415659904479923 40.54116058349604, -3.417542934417668 40.53638839721685, -3.414151906967106 40.53604888916016, -3.41189789772028 40.53405761718761, -3.410257101058903 40.52841949462891, -3.407243967056274 40.53011703491217, -3.405466079711914 40.52879714965832, -3.405597925186157 40.5252571105957, -3.398639917373657 40.52638244628912, -3.39172697067255 40.52364730834972, -3.376938104629459 40.52852630615246, -3.375689029693547 40.52664566040045, -3.373255014419499 40.52833938598633, -3.371051073074341 40.52708816528331, -3.365674018859863 40.52819442749029, -3.362401962280273 40.52342987060547, -3.359076023101807 40.52401733398438, -3.358850955963135 40.5262336730957, -3.357319116592407 40.52468872070318, -3.352042913436833 40.52669525146484, -3.353105068206787 40.52895355224604, -3.351274967193547 40.52894210815435, -3.349988937377929 40.53162002563482, -3.333985090255737 40.52816390991217, -3.323174953460693 40.52149963378918, -3.306802034378052 40.52974319458013, -3.304631948471069 40.53295516967779, -3.302654027938843 40.53153610229492, -3.300678014755249 40.53292846679699, -3.298346996307373 40.52927017211914, -3.296065092086792 40.52855682373058, -3.294559001922551 40.52979278564459, -3.293184041976929 40.5286979675293, -3.289586067199707 40.53171539306646, -3.284646987915039 40.52845764160162, -3.286428928375187 40.52552413940435, -3.283864974975472 40.5220870971679, -3.284513950347844 40.51656723022466, -3.29184889793396 40.51753997802734, -3.299187898635864 40.51375198364269, -3.301297903060913 40.51085662841797, -3.306206941604557 40.51318740844738, -3.307775020599308 40.50761413574219, -3.30605506896967 40.50535583496094, -3.310168027877808 40.50187683105469, -3.298487901687622 40.49436950683605, -3.294334888458252 40.48954010009771, -3.289679050445499 40.49060821533197, -3.286665916442871 40.48949813842778, -3.287668943405151 40.48653793334961, -3.297341108322143 40.48362350463878, -3.301559925079289 40.47964859008783, -3.309408903121948 40.48286437988287, -3.321415901183968 40.47207260131836)))",0.4225121864225419,0.7329208558906934,0.19742004517893236,0.3184542359879177,62571.0,35886.0,0.6199322316014743,0.7967681552507927,0.35554630840565926,0.3644839879338188,55974.0,42483.0,0.5545713946023065,0.5685121423565618,0.420907145404827,0.4314878576434383,0.15396504577339198,0.6889213991222237,0.06952205445250267,0.3110786008777763,0.3490964213529901,0.25876313644275045,1.0,0.7412368635572496
3,Alcobendas,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/06.html,30588.0,49.6,5533.0,8.97,8212.0,13.32,10757.0,17.44,3430.0,5.56,2232.0,3.62,274.0,0.44,14.0,0.02,20.0,0.03,27.0,0.04,17.0,0.03,60.0,0.1,23.0,0.04,24.0,0.04,44.0,0.07,39.0,0.06,36.0,0.06,26.0,0.04,12.0,0.02,8.0,0.01,100.0,62036.0,77.16,18367.0,22.84,363.0,0.59,297.0,0.48,"MULTIPOLYGON (((-3.674170970916748 40.58897399902355, -3.659807920455933 40.56325531005871, -3.653876066207886 40.55566787719732, -3.643646955490112 40.55559921264648, -3.639673948287963 40.55408096313477, -3.637178897857609 40.54876327514654, -3.629086017608642 40.54446411132812, -3.626596927642765 40.54106521606439, -3.603091955184937 40.53778457641613, -3.592999935150089 40.53812408447266, -3.577590942382812 40.53400421142584, -3.563500881195068 40.53518295288086, -3.549412012100219 40.53321456909191, -3.554234027862548 40.53250503540039, -3.557600975036621 40.52975082397472, -3.550386905670166 40.52414321899414, -3.550975084304696 40.52104568481445, -3.556022882461491 40.51747131347668, -3.553556919097844 40.51485061645513, -3.552634000778198 40.51159667968744, -3.554227113723698 40.5115699768067, -3.57145094871521 40.51327514648449, -3.593293905258179 40.50180816650402, -3.603028059005737 40.50169372558594, -3.607336044311467 40.50679779052745, -3.614742994308471 40.51147842407238, -3.634305000305119 40.50820922851562, -3.645273923873845 40.50857543945312, -3.65560603141779 40.51383209228527, -3.658577919006348 40.51233673095714, -3.666941881179696 40.52498245239269, -3.672390937805176 40.52466201782221, -3.677983999252319 40.52672958374035, -3.669658899307251 40.53469848632812, -3.677769899368286 40.54294586181646, -3.680298089981022 40.5544548034668, -3.689166069030705 40.57055282592778, -3.690783977508544 40.57044601440429, -3.700556993484497 40.57875442504888, -3.692373037338256 40.58024597167979, -3.674170970916748 40.58897399902355)))",0.49306854084725,0.7883505154639175,0.1733993165258882,0.2601765630668763,41345.0,19407.0,0.6664678573731382,0.826982698269827,0.3128344832033013,0.3194462733737161,38353.0,22399.0,0.6182377974079567,0.6313043191993679,0.3610645431684828,0.3686956808006321,0.13237475014507705,0.7053770829754338,0.055290476497517574,0.2946229170245662,0.2960700238571152,0.2284367498725172,1.0,0.7715632501274828
4,Alcorcón,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/07.html,39588.0,40.9,7841.0,8.1,16945.0,17.51,19798.0,20.45,7707.0,7.96,3115.0,3.22,504.0,0.52,22.0,0.02,52.0,0.05,13.0,0.01,54.0,0.06,128.0,0.13,227.0,0.23,14.0,0.01,24.0,0.02,72.0,0.07,35.0,0.04,66.0,0.07,20.0,0.02,4.0,0.01,100.0,97563.0,76.87,29356.0,23.13,769.0,0.79,565.0,0.58,"MULTIPOLYGON (((-3.787813901901245 40.3587532043457, -3.79892897605896 40.3566513061524, -3.804716110229492 40.35304260253918, -3.799791097640991 40.34275436401366, -3.816999912261962 40.3307342529298, -3.817715883255004 40.3276824951173, -3.838594913482609 40.32453155517578, -3.846817970275878 40.32415008544922, -3.84749698638916 40.3258628845216, -3.854183912277108 40.33054351806652, -3.859113931655884 40.34343719482428, -3.866754055023193 40.3468856811524, -3.867651939392089 40.35351943969738, -3.870862960815429 40.35322570800793, -3.870649099349976 40.35868453979504, -3.878849029541016 40.36972808837891, -3.877877950668335 40.37309646606451, -3.866512060165405 40.3739585876466, -3.867707014083805 40.37800979614257, -3.845813035964909 40.39073181152344, -3.837743043899536 40.40310668945312, -3.83030104637146 40.40163040161127, -3.834686040878239 40.3961296081543, -3.813148975372314 40.36979675292974, -3.810534000396728 40.3639030456543, -3.806904077529907 40.36660385131836, -3.802719116210937 40.36339187622076, -3.787813901901245 40.3587532043457)))",0.4057685803019587,0.7002635628747811,0.20292528930024703,0.33337823729498534,59386.0,35608.0,0.6086938696022057,0.7897494547582318,0.3649744267806443,0.37484472703539173,50544.0,44450.0,0.5180652501460594,0.5320757100448449,0.4556030462367906,0.46792428995515506,0.17368264608509373,0.6873681648547785,0.07899511085144983,0.31263183514522147,0.3008927564753031,0.23129712651376075,1.0,0.7687028734862392
5,Aldea del Fresno,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/08.html,694.0,47.7,201.0,13.81,169.0,11.62,235.0,16.15,116.0,7.97,18.0,1.24,7.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.27,3.0,0.21,2.0,0.14,0.0,0.0,1.0,0.07,3.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1479.0,69.86,638.0,30.14,24.0,1.62,2.0,0.14,"MULTIPOLYGON (((-4.231593132019043 40.27675628662121, -4.255235195159855 40.28686141967773, -4.272254943847656 40.29933547973638, -4.276229858398438 40.30358505249035, -4.280289173126164 40.31223678588867, -4.295228958129826 40.32307815551758, -4.286264896392765 40.32954025268549, -4.27699422836298 40.32847976684576, -4.274107933044434 40.33085250854504, -4.268074989318848 40.33252334594732, -4.257626056671029 40.32946395874029, -4.251100063323975 40.32483291625977, -4.237758159637394 40.32774353027344, -4.233002185821476 40.32899475097662, -4.23117208480835 40.33444213867188, -4.218810081481933 40.33635711669922, -4.213984966278019 40.33971405029308, -4.215637207031193 40.34257125854491, -4.212645053863469 40.35039520263683, -4.207643985748291 40.34934234619141, -4.188533782958928 40.33791732788097, -4.182239055633488 40.32927703857422, -4.17706298828125 40.32677459716791, -4.16956901550293 40.31826400756847, -4.166163921356201 40.30906295776373, -4.167954921722411 40.28806304931641, -4.170170783996525 40.28834152221674, -4.174552917480355 40.28866577148438, -4.17952919006342 40.2933807373048, -4.191264152526855 40.29697799682617, -4.197303771972656 40.2938346862794, -4.198911190032959 40.29029083251964, -4.202904224395752 40.28849792480469, -4.204996109008732 40.28320693969726, -4.203067779540902 40.27521133422852, -4.203673839569092 40.26901245117188, -4.208693027496338 40.26810455322271, -4.213544845581055 40.26924514770519, -4.218218803405762 40.27278900146479, -4.226354122161808 40.26990127563477, -4.229119777679387 40.27591705322271, -4.231593132019043 40.27675628662121)))",0.46923597025016905,0.8041714947856315,0.15889114266396215,0.2529601722282024,929.0,504.0,0.6281271129141311,0.7754590984974958,0.3407707910750507,0.35170969993021634,913.0,520.0,0.6173089925625422,0.6371249127704117,0.3515889114266396,0.3628750872295883,0.11426639621365788,0.5929824561403508,0.0784313725490196,0.4070175438596491,0.43137254901960786,0.3013698630136986,1.0,0.6986301369863014
6,Algete,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/09.html,5710.0,50.23,1329.0,11.69,1560.0,13.72,1650.0,14.51,571.0,5.02,367.0,3.23,63.0,0.55,4.0,0.04,5.0,0.04,4.0,0.04,3.0,0.03,14.0,0.12,6.0,0.05,1.0,0.01,2.0,0.02,4.0,0.04,7.0,0.06,4.0,0.04,3.0,0.03,0.0,0.0,100.0,11432.0,77.99,3227.0,22.01,64.0,0.56,61.0,0.54,"MULTIPOLYGON (((-3.453706026077271 40.60742950439459, -3.464894056320077 40.59816741943371, -3.465926885604858 40.59531784057623, -3.467562913894653 40.59598541259771, -3.475893020629882 40.59241104125977, -3.482842922210693 40.58750152587885, -3.482268095016422 40.58646774291992, -3.488816022872868 40.58506011962891, -3.495179891586304 40.58595275878918, -3.508313894271851 40.5823211669923, -3.520831108093261 40.58119201660167, -3.527295112609806 40.58283615112299, -3.529761075973454 40.58218765258795, -3.52989292144764 40.58423995971685, -3.532948970794621 40.58501052856451, -3.540148973464966 40.58397674560553, -3.539913892745914 40.58263397216802, -3.545322895049992 40.58394241333019, -3.549511909484806 40.58728408813477, -3.553049087524414 40.58644866943365, -3.561391115188541 40.58787536621105, -3.561644077301025 40.59272766113287, -3.565440893173217 40.59296417236334, -3.565661907196045 40.59834671020508, -3.575797080993596 40.60190200805658, -3.577600002288818 40.6079940795899, -3.574480056762695 40.61090087890631, -3.573981046676636 40.61888504028315, -3.579778909683228 40.61930465698242, -3.580722093582096 40.62311172485352, -3.584494113922119 40.6272811889649, -3.589421987533569 40.63364410400402, -3.591644048690796 40.64026260375977, -3.589412927627506 40.6448860168457, -3.591907978057861 40.64893722534185, -3.593462944030762 40.65480422973633, -3.589333057403565 40.65588378906256, -3.584662914276066 40.65353393554687, -3.584163904190006 40.64512252807623, -3.577770948409977 40.64580917358398, -3.568147897720337 40.6435432434082, -3.566692113876286 40.65036773681646, -3.559066057205143 40.65048599243175, -3.562073945999089 40.64553833007812, -3.558559894561711 40.64249801635754, -3.55641508102417 40.63616561889654, -3.56240701675415 40.63715744018565, -3.563849925994873 40.63440322875982, -3.56029009819025 40.62432098388666, -3.558669090270996 40.62438201904297, -3.559325933456421 40.61224365234386, -3.551883935928345 40.61154174804682, -3.547410011291447 40.61385345458984, -3.543170928955078 40.61290740966797, -3.535885095596313 40.6166725158692, -3.52996110916132 40.61362838745123, -3.524708032608032 40.61448669433599, -3.523607015609741 40.61605072021489, -3.518830060958862 40.6158561706543, -3.504750013351383 40.6202507019043, -3.502321958541756 40.61982345581066, -3.503475904464722 40.62564468383795, -3.492532968521118 40.62485504150402, -3.486874103546142 40.62540817260742, -3.488261938095092 40.61936950683594, -3.486143112182504 40.61570358276367, -3.47918701171875 40.61355972290039, -3.476330995559636 40.60919952392589, -3.47601389884943 40.60454559326172, -3.463387966156006 40.60761642456066, -3.45744800567627 40.60657501220697, -3.453706026077271 40.60742950439459)))",0.49947515745276416,0.7854195323246217,0.14433170048985305,0.22418478260869565,7360.0,3827.0,0.6438068579426172,0.7717311523539897,0.33476207137858643,0.3420935013855368,7406.0,3781.0,0.6478306508047585,0.6620184142308037,0.33073827851644505,0.3379815857691964,0.1364590622813156,0.7320506804317222,0.049947515745276415,0.2679493195682778,0.2822778166550035,0.22013779930418173,1.0,0.7798622006958182
7,Alpedrete,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/10.html,4146.0,48.52,936.0,10.95,1332.0,15.59,1090.0,12.76,558.0,6.53,354.0,4.14,37.0,0.43,2.0,0.02,3.0,0.04,3.0,0.04,4.0,0.05,6.0,0.07,4.0,0.05,0.0,0.0,2.0,0.02,6.0,0.07,5.0,0.06,4.0,0.05,2.0,0.02,1.0,0.01,100.0,8595.0,78.59,2341.0,21.41,50.0,0.58,50.0,0.59,"MULTIPOLYGON (((-4.043798923492432 40.66147232055664, -4.034422874450627 40.67098999023449, -4.012592792510929 40.68265914916998, -3.99822807312006 40.68425369262707, -3.995795965194702 40.68073272705089, -3.997239112854004 40.67273330688477, -3.995955944061279 40.6668434143067, -3.998048067092896 40.66347122192394, -4.006536006927433 40.66235351562506, -4.010978221893254 40.65170288085943, -4.021439075469971 40.6450920104981, -4.016910076141357 40.63898468017589, -4.025643825531006 40.63236618042004, -4.030877113342285 40.63888931274425, -4.030391216278076 40.64122772216803, -4.045911788940372 40.65512847900396, -4.046568870544434 40.65858459472662, -4.043798923492432 40.66147232055664)))",0.4823734729493892,0.7568455640744798,0.12681791739383363,0.20817417876241406,5236.0,3180.0,0.6091913903432228,0.7147147147147147,0.3699825479930192,0.37785171102661597,5436.0,2980.0,0.6324607329842932,0.6459125475285171,0.3467132053519488,0.3540874524714829,0.1549738219895288,0.7047619047619048,0.06492146596858639,0.29523809523809524,0.2723676556137289,0.21406364301389905,1.0,0.785936356986101
8,Ambite,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/11.html,135.0,42.45,55.0,17.3,37.0,11.64,48.0,15.09,28.0,8.81,10.0,3.14,1.0,0.31,1.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31,0.0,0.0,100.0,319.0,69.35,141.0,30.65,1.0,0.31,2.0,0.63,"MULTIPOLYGON (((-3.216186046600285 40.31260681152355, -3.210717916488647 40.31401443481451, -3.207163095474243 40.31747817993175, -3.19995188713068 40.33036422729492, -3.199193000793457 40.33715820312506, -3.204394102096444 40.34393310546869, -3.196813106536865 40.35223770141596, -3.177602052688599 40.36012268066418, -3.175781011581364 40.36618804931646, -3.177367925643921 40.37390518188482, -3.169001102447509 40.37760543823237, -3.16201996803278 40.37866592407232, -3.150916099548283 40.3762702941894, -3.15020298957819 40.37341308593756, -3.1493980884552 40.37171173095709, -3.153300046920776 40.36737442016607, -3.149586915969792 40.36086654663086, -3.143656969070321 40.35793304443364, -3.144190073013249 40.35367202758795, -3.141361951828003 40.3526496887207, -3.141450881957951 40.35081863403326, -3.146678924560433 40.35010528564453, -3.147367000579777 40.34737014770513, -3.156115055084229 40.34187316894531, -3.151411056518555 40.33850097656256, -3.153325080871582 40.33172607421869, -3.162343978881779 40.32743453979486, -3.162116050720215 40.3260002136231, -3.177755117416325 40.31514739990234, -3.182430028915405 40.30675125122076, -3.181785106658936 40.30369949340826, -3.207951068878174 40.30610656738287, -3.216186046600285 40.31260681152355)))",0.4231974921630094,0.7848837209302325,0.15047021943573669,0.26229508196721313,183.0,130.0,0.5736677115987461,0.690566037735849,0.40752351097178685,0.41533546325878595,200.0,113.0,0.6269592476489029,0.6389776357827476,0.3542319749216301,0.3610223642172524,0.11598746081504702,0.5692307692307692,0.0877742946708464,0.4307692307692308,0.44200626959247646,0.3065217391304348,1.0,0.6934782608695652
9,Anchuelo,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/12.html,367.0,50.27,94.0,12.88,93.0,12.74,123.0,16.85,30.0,4.11,16.0,2.19,3.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14,0.0,0.0,0.0,0.0,100.0,731.0,75.75,234.0,24.25,1.0,0.14,3.0,0.41,"MULTIPOLYGON (((-3.267774105072021 40.43864440917974, -3.267631053924561 40.44414520263678, -3.273524045944157 40.44962692260748, -3.2823450565337 40.45227432250982, -3.287343025207463 40.4516487121582, -3.292494058608952 40.45668411254888, -3.317540884017887 40.46886825561529, -3.321415901183968 40.47207260131836, -3.309408903121948 40.48286437988287, -3.301559925079289 40.47964859008783, -3.297341108322143 40.48362350463878, -3.287668943405151 40.48653793334961, -3.286665916442871 40.48949813842778, -3.289679050445499 40.49060821533197, -3.294334888458252 40.48954010009771, -3.298487901687622 40.49436950683605, -3.287774085998535 40.49496078491211, -3.282506942748967 40.49365234375011, -3.280143022537231 40.49010086059581, -3.273673057556096 40.4861946105957, -3.25827693939209 40.48387145996099, -3.259568929672184 40.48237228393555, -3.255130052566471 40.47520446777344, -3.249713897705078 40.45886230468756, -3.244322061538639 40.45211791992188, -3.234914064407349 40.44939804077154, -3.234909057617188 40.44445037841791, -3.256853103637638 40.44100952148448, -3.260519981384221 40.43814849853526, -3.267774105072021 40.43864440917974)))",0.5020519835841313,0.7978260869565217,0.16826265389876882,0.2510204081632653,490.0,233.0,0.6703146374829001,0.8166666666666667,0.31874145006839943,0.32226832641770403,477.0,246.0,0.652530779753762,0.6597510373443983,0.33652530779753764,0.34024896265560167,0.12722298221614228,0.7560975609756098,0.04103967168262654,0.24390243902439024,0.320109439124487,0.24248704663212436,1.0,0.7575129533678756
